facies_type,element_general_type,period,era,climate,sys_gs_category,stacked_thickness
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.16
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.19
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.97
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,6.25
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,6.12
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.84
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.12
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,1.59
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.22
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,0.19
M,terminal deposit,Cretaceous,Mesozoic,greenhouse,sandy system,14.44
M,channel,Quaternary,Cenozoic,icehouse,sandy system,6
M,levee,Quaternary,Cenozoic,icehouse,sandy system,7.5
M,levee,Quaternary,Cenozoic,icehouse,sandy system,1.6
M,levee,Quaternary,Cenozoic,icehouse,sandy system,8.05
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.05
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.1
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.14
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.19
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.05
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.07
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.27
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.13
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.08
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.17
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.22
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.34
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.49
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.05
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.29
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.08
M,channel,Quaternary,Cenozoic,icehouse,sandy system,1.33
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.96
M,levee,Quaternary,Cenozoic,icehouse,sandy system,1.42
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.65
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.37
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.05
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.07
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.28
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.31
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.21
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.13
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.84
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.17
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.94
M,levee,Quaternary,Cenozoic,icehouse,sandy system,1.8
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.3
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.2
M,levee,Quaternary,Cenozoic,icehouse,sandy system,5.2
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.15
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.26
M,channel,Quaternary,Cenozoic,icehouse,sandy system,1.42
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.12
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.19
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.65
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.72
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.01
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.05
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.11
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.17
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.03
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.45
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.18
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.13
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.06
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.1
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.07
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.55
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.045
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.16
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.04
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.1
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.02
M,levee,Quaternary,Cenozoic,icehouse,sandy system,0.1
M,levee,Quaternary,Cenozoic,icehouse,sandy system,1.2
M,channel,Quaternary,Cenozoic,icehouse,sandy system,5.64
M,channel,Quaternary,Cenozoic,icehouse,sandy system,1.06
M,channel,Quaternary,Cenozoic,icehouse,sandy system,0.39
M,channel,Quaternary,Cenozoic,icehouse,sandy system,5.79
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,1.7
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,1.48
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.92
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.17
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.22
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.1
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.11
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.53
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.8
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.04
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.39
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.43
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.94
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.22
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.06
M,levee,Cretaceous,Mesozoic,greenhouse,gravelly-sand system,0.25
