artificial_bed_id,code,bed_thickness,log_ID,element_ID,subset_ID,case_study_ID,system_ID,element_general_type,cs_age_from,cs_age_to,sys_age_from,sys_age_to,sand_fraction,sys_gs_category,age,epoch,period,era,start_ma,end_ma,climate
13,S-N-m,0.02,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
14,S-N-x,0.1,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
15,S-F-m,0.08,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
16,S-N-m,0.01,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
17,S-N-l,0.03,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
18,S-N-x,0.125,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
19,S-N-x,0.23,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
20,S-N-m,0.5,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
21,S-N-m,0.3,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
22,S-N-m,0.9,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
23,S-N-x,0.08,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
24,S-N-m,0.08,12,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
25,S-N-m,0.02,13,54,1,1,1,levee,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
26,S-N-m,0.02,13,54,1,1,1,levee,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
27,S-N-m,0.07,13,54,1,1,1,levee,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
28,S-N-m,0.04,13,54,1,1,1,levee,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
29,S-N-m,0.02,13,54,1,1,1,levee,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
31,S-N-l,0.15,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
32,S-N-l,0.07,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
33,S-N-l,0.07,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
34,S-N-l,0.17,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
35,S-N-l,0.06,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
36,S-N-l,0.08,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
37,S-N-l,0.19,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
38,S-N-l,0.09,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
39,S-N-l,0.07,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
40,S-N-l,0.04,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
41,S-N-l,0.02,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
42,S-N-l,0.05,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
43,S-N-l,0.07,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
44,S-N-l,0.1,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
45,S-N-l,0.05,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
46,S-N-l,0.04,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
47,S-N-l,0.05,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
48,S-N-l,0.04,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
49,S-N-m,0.055,15,52,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
50,S-N-m,0.16,17,42,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
51,S-N-m,0.25,17,42,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
52,S-N-m,0.25,18,42,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
53,S-N-m,0.5,18,42,1,1,1,channel,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
55,S-N-m,0.37,21,68,1,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
56,S-N-m,0.79,21,68,1,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
57,S-N-m,0.34,21,68,1,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
58,S-N-m,0.27,21,68,1,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
59,S-F-x,0.16,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
60,S-N-m,0.04,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
61,S-N-x,0.13,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
62,S-F-l,0.07,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
63,S-N-l,0.025,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
64,S-N-l,0.02,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
65,S-N-l,0.03,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
66,S-N-l,0.05,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
67,S-N-l,0.035,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
68,S-N-l,0.035,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
69,S-N-m,0.085,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
70,S-N-m,0.14,22,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
71,S-N-m,1.82,24,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
72,S-N-m,0.63,24,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
73,S-N-m,0.05,24,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
74,S-N-m,1.75,24,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
75,S-N-m,0.74,24,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
76,S-N-m,0.025,26,3,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
77,S-N-m,0.075,26,3,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
78,S-N-l,0.04,26,3,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
79,S-N-l,0.075,26,3,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
80,S-N-m,0.05,26,2,36,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
82,S-N-m,0.07,32,76,66,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
83,S-N-x,0.22,32,76,66,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
84,S-N-l,0.06,32,76,66,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
85,S-F-l,0.04,32,76,66,1,1,terminal deposit,2,1,2,1,1,sandy system,(Holocene),Holocene,Quaternary,Cenozoic,0.012,0,icehouse
111,S-N-m,0.3,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
112,sG-F-x,0.6,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
113,G-N-m,0.48,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
114,gS-F-x,0.63,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
115,gS-N-m,0.78,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
116,S-N-m,0.4,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
117,sG-N-m,0.63,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
118,gS-N-m,0.67,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
119,G-N-m,0.3,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
120,gS-N-m,0.89,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
121,S-N-m,0.33,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
122,G-N-x,0.5,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
123,S-N-l,0.15,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
124,S-N-m,0.18,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
125,S-N-m,0.55,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
126,gS-F-m,0.59,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
127,S-N-m,0.18,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
128,S-F-x,0.44,33,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
129,S-N-m,0.15,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
130,S-N-l,0.18,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
131,S-N-l,0.22,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
132,S-N-l,0.35,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
133,sG-F-x,1,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
134,S-N-l,0.1,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
135,S-N-l,0.18,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
136,S-N-l,0.1,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
137,S-N-l,0.15,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
138,S-N-m,0.2,33,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
152,sG-F-m,0.3,33,282,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
153,S-N-m,1.07,33,282,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
154,S-N-m,1.3,33,282,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
155,S-N-m,0.7,33,282,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
169,S-N-m,0.62,33,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
170,S-N-m,0.48,33,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
171,S-N-m,0.67,33,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
172,S-F-m,0.95,33,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
175,gS-N-x,1.54,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
176,gS-N-x,0.86,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
177,gS-F-x,0.48,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
178,gS-N-m,1.16,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
179,gS-N-m,1.04,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
180,G-N-l,0.25,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
181,G-N-l,0.2,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
182,S-N-m,0.2,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
183,S-N-x,0.4,33,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
201,S-N-m,0.48,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
202,S-N-m,0.67,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
203,S-N-m,0.43,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
204,S-N-m,0.53,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
205,gS-F-m,0.67,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
206,S-N-m,0.9,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
207,S-N-m,0.95,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
208,gS-F-m,0.71,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
209,S-N-m,0.57,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
210,S-F-x,0.62,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
211,S-N-m,1.9,33,286,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
212,gS-N-m,0.95,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
213,gS-N-m,0.71,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
214,gS-N-m,0.9,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
215,gS-F-m,0.86,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
216,gS-F-x,0.58,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
217,G-N-m,0.43,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
218,sG-N-m,0.71,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
219,sG-N-m,0.53,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
220,G-N-m,0.38,33,287,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
298,gS-N-m,1.18,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
299,sG-N-m,0.59,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
300,gS-F-m,0.63,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
301,S-N-m,0.37,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
302,G-N-m,0.26,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
303,G-N-m,0.52,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
304,G-N-m,0.33,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
305,G-N-m,0.44,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
306,G-N-m,0.33,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
307,G-N-m,0.3,34,279,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
308,S-N-l,0.18,34,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
309,S-N-l,0.37,34,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
310,S-C-x,2.92,34,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
311,S-N-l,0.15,34,280,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
336,S-N-m,0.29,34,282,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
337,S-N-m,0.92,34,282,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
338,S-N-m,0.83,34,282,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
352,gS-N-m,0.78,34,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
353,G-N-m,0.25,34,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
354,G-N-m,1.21,34,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
355,S-N-m,0.33,34,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
356,S-N-m,1.25,34,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
357,S-N-m,1,34,283,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
359,G-N-m,0.5,34,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
360,gS-N-m,0.92,34,284,10,8,5,channel,143,143,143,143,0.781029,gravelly-sand system,(Neo-proterozoic),-,-,Neo-proterozoic,1000,541,uncertain
